Order_ID,Order_Date,Customer_ID,Product_ID,Region_ID,Quantity,Discount_%,Shipping_Cost,Selling_Price,Standard_Cost,Sales_Amount,Cost_Amount
ORD100000,2023-06-25,CUST6734,PROD216,REG18,1,0.09,260,2737,2226,2490.67,2226
ORD100001,2023-10-19,CUST3453,PROD797,REG11,4,0.2,360,3127,735,10006.400000000001,2940
ORD100002,2024-05-05,CUST6998,PROD877,REG5,4,0.27,319,4100,1461,11972.0,5844
ORD100003,2025-01-30,CUST4812,PROD556,REG10,2,0.22,80,900,1792,1404.0,3584
ORD100004,2024-09-25,CUST2152,PROD683,REG10,3,0.16,154,2058,1700,5186.16,5100
ORD100005,2023-05-05,CUST2202,PROD817,REG10,2,0.27,351,3358,764,4902.68,1528
ORD100006,2024-08-26,CUST5209,PROD602,REG11,1,0.26,428,1384,2279,1024.16,2279
ORD100007,2025-07-26,CUST5670,PROD740,REG9,5,0.23,335,3662,569,14098.7,2845
ORD100008,2025-12-01,CUST2626,PROD685,REG13,3,0.2,376,4431,1513,10634.400000000001,4539
ORD100009,2024-05-05,CUST2185,PROD615,REG20,4,0.26,273,2310,2607,6837.6,10428
ORD100010,2024-07-18,CUST3076,PROD798,REG9,2,0.13,328,2108,1828,3667.92,3656
ORD100011,2023-06-17,CUST5806,PROD140,REG13,4,0.02,258,4276,675,16761.92,2700
ORD100012,2025-01-28,CUST5920,PROD189,REG14,1,0.06,413,4066,461,3822.04,461
ORD100013,2023-09-06,CUST5555,PROD497,REG11,5,0.25,407,4479,2050,16796.25,10250
ORD100014,2023-06-29,CUST3413,PROD512,REG9,1,0.09,471,918,309,835.38,309
ORD100015,2023-01-28,CUST2495,PROD342,REG4,1,0.25,200,3979,845,2984.25,845
ORD100016,2023-04-27,CUST4173,PROD608,REG1,2,0.15,210,1658,2328,2818.6,4656
ORD100017,2024-12-03,CUST1118,PROD300,REG1,2,0.14,368,4359,2884,7497.48,5768
ORD100018,2024-10-18,CUST4489,PROD607,REG12,3,0.02,229,2001,290,5882.94,870
ORD100019,2025-04-11,CUST1103,PROD213,REG20,5,0.15,156,4424,2426,18802.0,12130
ORD100020,2023-09-19,CUST1049,PROD249,REG1,5,0.04,155,2196,1530,10540.8,7650
ORD100021,2024-09-17,CUST6816,PROD699,REG5,5,0.26,215,4703,271,17401.1,1355
ORD100022,2025-02-23,CUST5949,PROD326,REG13,5,0.09,450,3641,2383,16566.55,11915
ORD100023,2025-11-27,CUST1474,PROD220,REG13,5,0.09,237,2681,952,12198.550000000001,4760
ORD100024,2023-07-16,CUST5814,PROD322,REG4,4,0.12,252,3484,2903,12263.68,11612
ORD100025,2024-11-14,CUST4662,PROD797,REG14,1,0.04,54,3127,735,3001.92,735
ORD100026,2025-05-23,CUST5950,PROD242,REG17,2,0.06,435,3358,1390,6313.04,2780
ORD100027,2023-11-29,CUST6850,PROD288,REG4,5,0.19,80,2926,2159,11850.300000000001,10795
ORD100028,2024-12-20,CUST1112,PROD490,REG10,5,0.29,491,2343,779,8317.65,3895
ORD100029,2023-03-20,CUST4639,PROD326,REG12,2,0.26,481,3641,2383,5388.68,4766
ORD100030,2023-07-16,CUST1753,PROD702,REG7,3,0.09,315,3762,1555,10270.26,4665
ORD100031,2023-08-14,CUST3279,PROD207,REG2,4,0.24,446,1399,1027,4252.96,4108
ORD100032,2024-08-17,CUST3670,PROD269,REG10,1,0.13,167,4491,344,3907.17,344
ORD100033,2025-07-01,CUST5972,PROD837,REG10,3,0.25,204,600,1803,1350.0,5409
ORD100034,2025-01-04,CUST1924,PROD124,REG18,1,0.23,82,4907,1880,3778.39,1880
ORD100035,2025-07-07,CUST6284,PROD675,REG4,4,0.3,187,2689,1328,7529.2,5312
ORD100036,2024-06-20,CUST4476,PROD873,REG4,4,0.11,295,4014,2187,14289.84,8748
ORD100037,2023-08-08,CUST2536,PROD103,REG5,3,0.15,354,4144,2934,10567.199999999999,8802
ORD100038,2023-10-20,CUST2600,PROD165,REG13,4,0.28,239,601,2578,1730.8799999999999,10312
ORD100039,2023-07-21,CUST3224,PROD482,REG5,2,0.24,431,2260,1023,3435.2,2046
ORD100040,2023-02-01,CUST2126,PROD330,REG18,4,0.27,175,4996,2305,14588.32,9220
ORD100041,2024-12-16,CUST4195,PROD625,REG3,5,0.19,484,3526,2325,14280.300000000001,11625
ORD100042,2025-01-22,CUST4896,PROD432,REG12,1,0.05,114,2828,1434,2686.6,1434
ORD100043,2025-10-13,CUST1482,PROD349,REG10,4,0.12,90,3688,2834,12981.76,11336
ORD100044,2023-04-25,CUST6169,PROD222,REG2,3,0.01,337,4915,1871,14597.55,5613
ORD100045,2024-12-22,CUST1265,PROD832,REG16,2,0.13,129,1477,1882,2569.98,3764
ORD100046,2023-07-01,CUST6847,PROD725,REG6,2,0.01,486,1070,1602,2118.6,3204
ORD100047,2025-02-09,CUST4162,PROD261,REG12,4,0.28,228,1738,2815,5005.44,11260
ORD100048,2024-04-13,CUST5358,PROD253,REG6,3,0.07,369,3028,915,8448.119999999999,2745
ORD100049,2024-03-01,CUST5493,PROD846,REG19,4,0.17,222,1856,2100,6161.92,8400
ORD100050,2025-04-13,CUST4810,PROD411,REG5,5,0.0,283,2206,1019,11030.0,5095
ORD100051,2025-12-19,CUST3446,PROD445,REG18,3,0.12,230,4319,2925,11402.16,8775
ORD100052,2024-04-29,CUST4378,PROD551,REG5,5,0.29,50,3311,1230,11754.05,6150
ORD100053,2023-01-11,CUST5790,PROD347,REG2,4,0.26,152,360,777,1065.6,3108
ORD100054,2023-02-11,CUST5459,PROD177,REG2,1,0.2,469,3698,795,2958.4,795
ORD100055,2023-05-03,CUST4999,PROD302,REG1,2,0.24,343,2489,2797,3783.28,5594
ORD100056,2024-12-01,CUST3234,PROD486,REG4,4,0.17,403,1669,2987,5541.08,11948
ORD100057,2023-09-09,CUST6988,PROD477,REG8,4,0.02,400,3472,850,13610.24,3400
ORD100058,2025-08-30,CUST5424,PROD570,REG19,5,0.19,203,4270,1641,17293.5,8205
ORD100059,2024-08-26,CUST6926,PROD235,REG13,4,0.13,190,4404,626,15325.92,2504
ORD100060,2023-08-01,CUST5640,PROD561,REG18,5,0.23,96,1862,2877,7168.7,14385
ORD100061,2023-09-25,CUST5831,PROD353,REG7,4,0.08,402,2028,2250,7463.04,9000
ORD100062,2025-10-02,CUST3628,PROD744,REG14,2,0.11,334,4119,291,7331.82,582
ORD100063,2024-12-07,CUST1938,PROD285,REG20,2,0.01,380,4736,1136,9377.28,2272
ORD100064,2024-06-23,CUST6307,PROD111,REG3,3,0.26,425,3418,2132,7587.96,6396
ORD100065,2024-12-06,CUST3733,PROD354,REG12,3,0.14,135,2563,718,6612.54,2154
ORD100066,2025-10-07,CUST2405,PROD294,REG6,4,0.15,337,3136,2389,10662.4,9556
ORD100067,2024-09-10,CUST3503,PROD848,REG1,2,0.21,370,1542,1022,2436.36,2044
ORD100068,2024-05-12,CUST1730,PROD193,REG12,5,0.12,325,2272,1868,9996.8,9340
ORD100069,2025-10-17,CUST4127,PROD119,REG3,4,0.14,333,3817,1387,13130.48,5548
ORD100070,2025-02-20,CUST6613,PROD486,REG18,1,0.0,278,1669,2987,1669.0,2987
ORD100071,2023-05-06,CUST2832,PROD388,REG5,3,0.17,325,4837,2174,12044.13,6522
ORD100072,2025-04-20,CUST3410,PROD560,REG13,3,0.3,474,1156,2463,2427.6,7389
ORD100073,2025-09-09,CUST4370,PROD757,REG1,3,0.0,90,2186,1140,6558.0,3420
ORD100074,2023-01-12,CUST2587,PROD686,REG19,5,0.14,451,2541,981,10926.3,4905
ORD100075,2024-05-30,CUST5399,PROD509,REG20,3,0.3,322,4190,2586,8799.0,7758
ORD100076,2023-11-12,CUST4851,PROD106,REG16,2,0.15,107,876,767,1489.2,1534
ORD100077,2025-10-28,CUST3146,PROD189,REG14,3,0.18,481,4066,461,10002.36,1383
ORD100078,2023-11-10,CUST5651,PROD870,REG16,5,0.11,176,3387,1201,15072.15,6005
ORD100079,2024-06-30,CUST3194,PROD856,REG15,4,0.21,418,4135,1043,13066.6,4172
ORD100080,2023-02-08,CUST3275,PROD628,REG7,1,0.19,101,4952,963,4011.1200000000003,963
ORD100081,2025-11-10,CUST6993,PROD495,REG8,4,0.06,99,3982,423,14972.32,1692
ORD100082,2023-09-10,CUST2418,PROD468,REG12,4,0.21,302,1995,640,6304.200000000001,2560
ORD100083,2023-10-30,CUST3915,PROD201,REG20,3,0.25,84,4668,730,10503.0,2190
ORD100084,2025-09-05,CUST5699,PROD300,REG3,4,0.26,480,4359,2884,12902.64,11536
ORD100085,2023-09-15,CUST2004,PROD692,REG9,1,0.03,379,2715,1141,2633.5499999999997,1141
ORD100086,2025-09-26,CUST5987,PROD714,REG10,3,0.25,393,1721,262,3872.25,786
ORD100087,2024-06-25,CUST4699,PROD565,REG7,2,0.27,442,2648,1084,3866.08,2168
ORD100088,2024-10-01,CUST4158,PROD349,REG10,4,0.24,308,3688,2834,11211.52,11336
ORD100089,2024-07-05,CUST5514,PROD731,REG13,3,0.18,399,1898,2294,4669.08,6882
ORD100090,2024-04-05,CUST4131,PROD634,REG3,5,0.05,108,2814,1464,13366.5,7320
ORD100091,2023-08-12,CUST6794,PROD869,REG11,5,0.27,448,4348,236,15870.199999999999,1180
ORD100092,2023-04-02,CUST1506,PROD716,REG19,4,0.13,56,4580,353,15938.4,1412
ORD100093,2023-10-07,CUST6610,PROD225,REG7,1,0.04,461,1308,351,1255.68,351
ORD100094,2023-09-05,CUST6295,PROD410,REG2,2,0.29,325,1414,1587,2007.8799999999999,3174
ORD100095,2025-05-15,CUST6679,PROD725,REG4,2,0.25,339,1070,1602,1605.0,3204
ORD100096,2023-03-19,CUST1337,PROD626,REG7,3,0.3,264,4698,1568,9865.8,4704
ORD100097,2024-04-02,CUST4572,PROD853,REG7,2,0.03,274,3630,1915,7042.2,3830
ORD100098,2024-08-08,CUST1061,PROD328,REG4,5,0.21,90,635,1735,2508.25,8675
ORD100099,2025-11-03,CUST5118,PROD296,REG16,2,0.3,327,2797,904,3915.7999999999997,1808
ORD100100,2023-02-14,CUST6307,PROD418,REG8,4,0.16,173,2834,2464,9522.24,9856
ORD100101,2023-02-07,CUST5393,PROD328,REG3,1,0.23,450,635,1735,488.95,1735
ORD100102,2024-02-20,CUST6859,PROD390,REG2,5,0.22,209,1445,1752,5635.5,8760
ORD100103,2023-09-02,CUST2189,PROD118,REG12,2,0.01,224,4601,1161,9109.98,2322
ORD100104,2025-12-21,CUST4057,PROD792,REG12,2,0.27,318,1913,551,2792.98,1102
ORD100105,2024-05-07,CUST5153,PROD319,REG5,3,0.23,118,3680,2710,8500.800000000001,8130
ORD100106,2023-11-19,CUST1446,PROD101,REG17,4,0.09,205,4462,2397,16241.68,9588
ORD100107,2024-04-12,CUST3490,PROD583,REG2,5,0.15,130,2578,722,10956.5,3610
ORD100108,2025-12-20,CUST2534,PROD279,REG9,3,0.21,77,1171,2352,2775.27,7056
ORD100109,2023-03-28,CUST4604,PROD503,REG15,2,0.13,430,1231,2019,2141.94,4038
ORD100110,2023-03-21,CUST4042,PROD286,REG19,4,0.11,122,1016,1225,3616.96,4900
ORD100111,2023-08-16,CUST2585,PROD486,REG14,3,0.05,332,1669,2987,4756.65,8961
ORD100112,2024-04-27,CUST3945,PROD363,REG2,1,0.28,409,3655,1566,2631.6,1566
ORD100113,2024-09-14,CUST5850,PROD139,REG13,2,0.26,390,1456,693,2154.88,1386
ORD100114,2025-08-05,CUST5364,PROD129,REG17,4,0.17,475,1693,295,5620.759999999999,1180
ORD100115,2024-04-29,CUST5315,PROD623,REG18,1,0.26,192,594,2379,439.56,2379
ORD100116,2025-04-19,CUST4088,PROD276,REG3,4,0.25,104,3454,1539,10362.0,6156
ORD100117,2023-01-25,CUST4884,PROD727,REG7,4,0.04,54,2247,504,8628.48,2016
ORD100118,2025-02-17,CUST4380,PROD202,REG16,5,0.17,490,2313,712,9598.949999999999,3560
ORD100119,2025-07-19,CUST4052,PROD372,REG14,4,0.3,273,2770,2848,7755.999999999999,11392
ORD100120,2025-03-05,CUST3529,PROD735,REG12,3,0.23,130,2574,1622,5945.9400000000005,4866
ORD100121,2025-01-22,CUST2060,PROD122,REG17,2,0.04,492,3744,2902,7188.48,5804
ORD100122,2024-03-01,CUST3701,PROD778,REG7,4,0.19,467,1952,2684,6324.4800000000005,10736
ORD100123,2025-12-26,CUST4184,PROD226,REG17,1,0.13,347,1769,617,1539.03,617
ORD100124,2024-10-21,CUST3984,PROD382,REG14,4,0.24,259,3336,1168,10141.44,4672
ORD100125,2024-11-15,CUST4255,PROD796,REG4,5,0.07,358,4619,2416,21478.35,12080
ORD100126,2024-06-30,CUST3899,PROD118,REG13,5,0.25,429,4601,1161,17253.75,5805
ORD100127,2025-07-04,CUST3454,PROD271,REG17,5,0.28,373,3455,2083,12438.0,10415
ORD100128,2023-02-24,CUST6803,PROD221,REG11,1,0.17,146,2637,2630,2188.71,2630
ORD100129,2023-11-10,CUST1415,PROD421,REG14,5,0.1,243,1565,922,7042.5,4610
ORD100130,2023-08-08,CUST6845,PROD387,REG1,4,0.23,126,2576,1198,7934.08,4792
ORD100131,2023-02-18,CUST5838,PROD270,REG19,5,0.29,390,4653,724,16518.149999999998,3620
ORD100132,2024-04-07,CUST6233,PROD352,REG7,2,0.17,215,2337,2291,3879.4199999999996,4582
ORD100133,2023-04-28,CUST4414,PROD843,REG5,2,0.24,181,2608,997,3964.16,1994
ORD100134,2023-03-23,CUST3430,PROD890,REG11,2,0.12,239,4899,2887,8622.24,5774
ORD100135,2024-05-10,CUST5179,PROD625,REG18,4,0.16,479,3526,2325,11847.359999999999,9300
ORD100136,2024-09-25,CUST5586,PROD307,REG12,5,0.01,241,4520,494,22374.0,2470
ORD100137,2025-04-16,CUST3861,PROD284,REG5,4,0.03,330,1548,2434,6006.24,9736
ORD100138,2024-08-24,CUST3598,PROD797,REG17,1,0.29,197,3127,735,2220.17,735
